strategy,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,n_folds
No balancing,0.9627648828712658,0.013103893820010721,0.8422857142857143,0.06742271556328425,0.8974843097232025,0.040750947385934884,5
Class weight=balanced,0.8990650191621514,0.044699160618721305,0.8623673469387756,0.03903287308378044,0.8802571975862806,0.04084253432006726,5
SMOTE 0.3,0.9293791429615323,0.02221741789416247,0.9029387755102041,0.04123297548550907,0.9155580794378949,0.025798387886220228,5
SMOTE 0.5,0.9180078553160396,0.022952594461204272,0.9027755102040815,0.026799889349358532,0.910047629897254,0.017869860940719903,5
SMOTE 1.0,0.9070343698854337,0.027838102317523306,0.9028571428571428,0.033304721859306725,0.9045197066098363,0.02186560509807954,5
BorderlineSMOTE 0.3,0.9402739685681298,0.02878983900925921,0.8746122448979591,0.052089533019879085,0.9051655642494151,0.0259553903397858,5
ADASYN 0.3,0.9104280350438048,0.021890213679091136,0.9028571428571428,0.033304721859306725,0.906301884827658,0.02083617492792489,5
SMOTETomek 0.3,0.9333348121857439,0.026053352814662995,0.9028571428571428,0.033304721859306725,0.9175429279227435,0.023857840133506076,5
Class weight + SMOTE 0.3,0.9024565315487898,0.03173483381459808,0.8946938775510205,0.02663402138951097,0.898312644645487,0.02414851899154997,5
