Modelo;Precision;Recall;F1-Score;AUC-ROC;AUC-PR;N_Positivos
Regras (score≥10);1.0;0.2162;0.3556;0.994;0.8252;16
Regras (score≥8);1.0;0.4865;0.6545;0.994;0.8252;36
Regras (score≥9);1.0;0.3243;0.4898;0.994;0.8252;24
Consensus (unanimidade);0.9848;0.8784;0.9286;1.0;0.9903;66
Hybrid AND (ML≥0.7, Rules≥7);0.9483;0.7432;0.8333;0.9996;0.9611;58
LightGBM (th=0.9);0.9452;0.9324;0.9388;0.9999;0.9849;73
Hybrid AND (ML≥0.5, Rules≥7);0.9322;0.7432;0.8271;0.9996;0.9611;59
Hybrid AND (ML≥0.6, Rules≥7);0.9322;0.7432;0.8271;0.9996;0.9611;59
RF Calibrado (th=0.9);0.9265;0.8514;0.8873;0.9998;0.9625;68
Hybrid AND (ML≥0.7, Rules≥5);0.9143;0.8649;0.8889;0.9996;0.9611;70
Hybrid AND (ML≥0.7, Rules≥6);0.913;0.8514;0.8811;0.9996;0.9611;69
Hybrid AND (ML≥0.6, Rules≥5);0.9014;0.8649;0.8828;0.9996;0.9611;71
Hybrid AND (ML≥0.5, Rules≥5);0.9014;0.8649;0.8828;0.9996;0.9611;71
Hybrid AND (ML≥0.5, Rules≥6);0.9;0.8514;0.875;0.9996;0.9611;70
Hybrid AND (ML≥0.6, Rules≥6);0.9;0.8514;0.875;0.9996;0.9611;70
Stacking (th=0.9);0.8974;0.9459;0.9211;0.9999;0.981;78
Regras (score≥7);0.8871;0.7432;0.8088;0.994;0.8252;62
LightGBM (th=0.8);0.8846;0.9324;0.9079;0.9999;0.9849;78
LightGBM (th=0.7);0.8734;0.9324;0.902;0.9999;0.9849;79
XGBoost (th=0.9);0.8718;0.9189;0.8947;0.9999;0.9821;78
Stacking (th=0.8);0.8642;0.9459;0.9032;0.9999;0.981;81
LightGBM (th=0.6);0.8537;0.9459;0.8974;0.9999;0.9849;82
RF Calibrado (th=0.8);0.8293;0.9189;0.8718;0.9998;0.9625;82
Stacking (th=0.7);0.8256;0.9595;0.8875;0.9999;0.981;86
Hybrid OR (ML≥0.7, Rules≥8);0.8256;0.9595;0.8875;0.9987;0.966;86
Regras (score≥6);0.8205;0.8649;0.8421;0.994;0.8252;78
RF Calibrado (th=0.7);0.8193;0.9189;0.8662;0.9998;0.9625;83
XGBoost (th=0.8);0.814;0.9459;0.875;0.9999;0.9821;86
Hybrid OR (ML≥0.6, Rules≥8);0.7978;0.9595;0.8712;0.9987;0.966;89
Stacking (th=0.6);0.7978;0.9595;0.8712;0.9999;0.981;89
Hybrid OR (ML≥0.7, Rules≥7);0.7889;0.9595;0.8659;0.9987;0.966;90
XGBoost (th=0.7);0.7872;1.0;0.881;0.9999;0.9821;94
Hybrid OR (ML≥0.5, Rules≥8);0.7802;0.9595;0.8606;0.9987;0.966;91
Stacking (th=0.5);0.7802;0.9595;0.8606;0.9999;0.981;91
Hybrid OR (ML≥0.6, Rules≥7);0.7717;0.9595;0.8554;0.9987;0.966;92
Hybrid OR (ML≥0.7, Rules≥6);0.7579;0.973;0.8521;0.9987;0.966;95
Hybrid OR (ML≥0.5, Rules≥7);0.7553;0.9595;0.8452;0.9987;0.966;94
Hybrid OR (ML≥0.6, Rules≥6);0.7423;0.973;0.8421;0.9987;0.966;97
XGBoost (th=0.6);0.7327;1.0;0.8457;0.9999;0.9821;101
Hybrid OR (ML≥0.5, Rules≥6);0.7273;0.973;0.8324;0.9987;0.966;99
