ablation;mode;exp_precision_mean;exp_precision_std;exp_recall_mean;exp_recall_std;exp_f1_mean;exp_f1_std;exp_fbeta_mean;exp_fbeta_std;auto_precision_mean;auto_precision_std;auto_recall_mean;auto_recall_std;auto_f1_mean;auto_f1_std;llm_used_mean;llm_used_std;review_requested_mean;review_requested_std;n_runs
GR_OFF;confirmacao;0.9728947578218609;0.012909973441752149;0.9448648648648648;0.023373691140803045;0.9584208131142804;0.007726625495262813;0.9669907196076112;0.0069806975839703765;1.0;0.0;0.9394894894894895;0.04431439458425638;0.9683714531082952;0.023492314988532867;77.8;18.212632978237934;77.8;18.212632978237934;5
GR_OFF;vigilancia;0.9578785218803327;0.015041489521858173;0.9672702702702702;0.023595190543849988;0.9622901335062032;0.008874705052905068;0.9652081111301204;0.016947848421585136;1.0;0.0;0.9760519335473964;0.026526432589224557;0.987734472484421;0.013630562362705496;80.4;23.922792479140057;80.4;23.922792479140057;5
GR_ON;confirmacao;0.9481219962850476;0.01215481541195021;0.945027027027027;0.023291982211788582;0.9463391570661889;0.00833867661082114;0.9473529396148639;0.0072148579940656665;1.0;0.0;0.9403023819711882;0.043635275439888786;0.9688171185539606;0.02310936663352445;126.2;19.3700800204852;135.2;21.475567512873788;5
GR_ON;vigilancia;0.937962864787659;0.013139453426138622;0.9668648648648649;0.02364679529417134;0.9519583329066261;0.008902151109055312;0.9607871355571543;0.017056420828458648;1.0;0.0;0.9755847953216374;0.026978799997174063;0.9874900074386312;0.013869684697498066;123.6;21.709444949145983;136.4;25.66709956344893;5
MACD_OFF;confirmacao;0.9481219962850476;0.01215481541195021;0.945027027027027;0.023291982211788582;0.9463391570661889;0.00833867661082114;0.9473529396148639;0.0072148579940656665;1.0;0.0;0.9403023819711882;0.043635275439888786;0.9688171185539606;0.02310936663352445;126.2;19.3700800204852;135.2;21.475567512873788;5
MACD_OFF;vigilancia;0.937962864787659;0.013139453426138622;0.9668648648648649;0.02364679529417134;0.9519583329066261;0.008902151109055312;0.9607871355571543;0.017056420828458648;1.0;0.0;0.9755847953216374;0.026978799997174063;0.9874900074386312;0.013869684697498066;123.6;21.709444949145983;136.4;25.66709956344893;5
MACD_ON;confirmacao;0.9481219962850476;0.01215481541195021;0.945027027027027;0.023291982211788582;0.9463391570661889;0.00833867661082114;0.9473529396148639;0.0072148579940656665;1.0;0.0;0.9403023819711882;0.043635275439888786;0.9688171185539606;0.02310936663352445;126.2;19.3700800204852;135.2;21.475567512873788;5
MACD_ON;vigilancia;0.937962864787659;0.013139453426138622;0.9668648648648649;0.02364679529417134;0.9519583329066261;0.008902151109055312;0.9607871355571543;0.017056420828458648;1.0;0.0;0.9755847953216374;0.026978799997174063;0.9874900074386312;0.013869684697498066;123.6;21.709444949145983;136.4;25.66709956344893;5
cal=ml_rf;confirmacao;0.9481219962850476;0.01215481541195021;0.945027027027027;0.023291982211788582;0.9463391570661889;0.00833867661082114;0.9473529396148639;0.0072148579940656665;1.0;0.0;0.9403023819711882;0.043635275439888786;0.9688171185539606;0.02310936663352445;126.2;19.3700800204852;135.2;21.475567512873788;5
cal=ml_rf;vigilancia;0.937962864787659;0.013139453426138622;0.9668648648648649;0.02364679529417134;0.9519583329066261;0.008902151109055312;0.9607871355571543;0.017056420828458648;1.0;0.0;0.9755847953216374;0.026978799997174063;0.9874900074386312;0.013869684697498066;123.6;21.709444949145983;136.4;25.66709956344893;5
cal=platt;confirmacao;0.9204196205559654;0.007204506847447564;0.5304324324324324;0.03615280349954273;0.6724757949105664;0.029307471986753524;0.801853873234417;0.018004464953121822;1.0;0.0;0.23630459126539752;0.02261932741773866;0.38183634471981465;0.030019018446099853;123.6;10.761040841851683;130.8;10.158740079360234;5
cal=platt;vigilancia;0.747862382484839;0.005748563064348735;0.6928108108108109;0.046502923712447373;0.7186820727316753;0.025518692642827353;0.7027997702978087;0.038373147714423135;0.99;0.02236067977499793;0.48535001583782067;0.057383093171426744;0.649850191263419;0.05259456019408179;416.6;25.224987611493493;477.8;28.647862049374645;5
cal=stub;confirmacao;0.5333309609500348;0.01901402404532441;0.8080270270270271;0.056335032312011056;0.6424076761218164;0.03160023939795854;0.5721733742869903;0.023156273116988018;0.992;0.017888543819998333;0.7091060291060292;0.09390490172117916;0.824404647891045;0.06469708798730509;1000.0;0.0;18383.8;195.0223064164714;5
cal=stub;vigilancia;0.0058486735033836616;0.0001177824877345556;0.9983513513513513;0.0012064169794954076;0.011629199080069194;0.00023288541180965114;0.02857359774095166;0.0005627982089680513;0.005759434794861533;0.00016831648282750848;1.0;0.0;0.011452862758075694;0.00033282077739437706;2000.0;0.0;18380.0;190.59774395307005;5
