fp_fn_ratio;mode;exp_precision_mean;exp_precision_std;exp_recall_mean;exp_recall_std;exp_f1_mean;exp_f1_std;exp_fbeta_mean;exp_fbeta_std;llm_used_mean;llm_used_std;review_requested_mean;review_requested_std;n_runs
0.1;confirmacao;0.9383198121054519;0.013470490587895375;0.9626756756756757;0.024094901545694544;0.9500929165333665;0.009027999349877592;0.9429364718502822;0.0087063060910316;128.2;22.753021777337622;141.0;27.175356483402386;5
0.1;vigilancia;0.9336562599325744;0.01308615109510109;0.9693513513513514;0.02099349441824711;0.9509643121355623;0.007637560897889548;0.96185988414835;0.014851360781447744;130.6;21.835750502329887;145.0;26.248809496813376;5
0.2;confirmacao;0.9403744873024316;0.013098696337620022;0.9626756756756757;0.024094901545694544;0.9511558764381304;0.009419444892235115;0.944602411161846;0.008662489318545259;125.4;22.46775467197379;137.8;26.63080922540658;5
0.2;vigilancia;0.937962864787659;0.013139453426138622;0.9668648648648649;0.02364679529417134;0.9519583329066261;0.008902151109055312;0.9607871355571543;0.017056420828458648;123.6;21.709444949145983;136.4;25.66709956344893;5
0.5;confirmacao;0.9435717469772482;0.01242384422682192;0.9578108108108108;0.026539074930634805;0.950353430590883;0.009327267212623405;0.9462062787580781;0.007072231830378356;120.0;21.435951110226014;129.8;23.209911675833666;5
0.5;vigilancia;0.9426684496673964;0.012964628141990339;0.9632972972972974;0.027431533735778408;0.9525856161202274;0.010735129213056208;0.9589131698232294;0.020219906567578966;119.2;22.286767374386084;130.0;24.56623699307649;5
1.0;confirmacao;0.946001965145196;0.011473286132809806;0.9526216216216217;0.02295639306313065;0.9490782988779355;0.007959408702135436;0.9471780685058759;0.006604721768859056;116.4;20.144478151592807;125.4;22.345021816950638;5
1.0;vigilancia;0.945670288294451;0.011866923380057275;0.9528108108108109;0.022739553425533583;0.949002826044597;0.007736062501775705;0.9512286936082143;0.016305923446754585;118.2;20.656718035544756;127.4;22.689204481426845;5
2.0;confirmacao;0.9480970038103091;0.012327279301365476;0.9504054054054054;0.022772776347776066;0.9490226892442181;0.00801823435671801;0.9484137297937142;0.007397603301784045;117.4;20.863844324572593;126.0;23.37733945512192;5
2.0;vigilancia;0.9501141111712889;0.011207686822993244;0.9496756756756757;0.02301280330909668;0.9496824368563151;0.008640755614529894;0.9496264510616393;0.016868720215556746;117.0;19.72308292331602;124.6;22.733235581412515;5
5.0;confirmacao;0.9481219962850476;0.01215481541195021;0.945027027027027;0.023291982211788582;0.9463391570661889;0.00833867661082114;0.9473529396148639;0.0072148579940656665;126.2;19.3700800204852;135.2;21.475567512873788;5
5.0;vigilancia;0.9521636275608156;0.011161941377831457;0.9408378378378378;0.02627195245420536;0.9462169214465946;0.010712449483358198;0.9429218479421904;0.01973051749790361;123.4;17.798876369029593;130.2;20.25339477717254;5
10.0;confirmacao;0.947588550601792;0.012297776818038902;0.9348378378378379;0.020958235278867924;0.9409563471804429;0.006737851034403933;0.9448732713328918;0.006985018653712065;139.2;20.24104740372889;148.8;22.487774456357393;5
10.0;vigilancia;0.9518854960203367;0.011509256114899096;0.9308108108108109;0.023299742770002553;0.941009759527655;0.009140831427703732;0.9348113172869901;0.017311722638456917;134.4;20.767763480933613;141.6;23.38375504490243;5
