page	line	left	right	word	line_text	ptbr_hyphenation	valid_positions
8	17	difer	entes	diferentes	Brasil, na medida em que possibilita a vinculação de registros individuais dispersos em difer-	di-fe-ren-tes	2,4,7
17	2	interpretabil	idade	interpretabilidade	SHAP     SHapley Additive exPlanations -- valores de Shapley para interpretabil-	in-ter-pre-ta-bi-li-da-de	2,5,8,10,12,14,16
24	39	similar	idade	similaridade	máquina como camada de pós-processamento do linkage probabilístico. Os escores de similar-	si-mi-la-ri-da-de	2,4,6,8,10
27	9	link	age	linkage	        O linkage de bases de dados, também denominado vinculação de registros (record link-	linka-ge	5
28	16	difer	enciados	diferenciados	fundamentado no modelo de Fellegi e Sunter (FELLEGI; SUNTER, 1969), atribui pesos difer-	di-fe-ren-ci-a-dos	2,4,7,9,10
29	9	con	stitui	constitui	contexto, a aplicação de classificadores supervisionados como etapa de pós-processamento con-	cons-ti-tui	4,6
31	25	comprom	etendo	comprometendo	erros de grafia. Pontos de corte excessivamente baixos incorporam falsos positivos, comprom-	com-pro-me-ten-do	3,6,8,11
32	20	inter	avaliadores	interavaliadores	(clerical review), procedimento dispendioso, pouco escalável e sujeito à variabilidade inter-	in-te-ra-va-li-a-do-res	2,4,6,8,10,11,13
33	21	sub	stancialmente	substancialmente	aprendizado supervisionado (JIAO et al., 2021; ALMADANI et al., 2026) podem elevar sub-	subs-tan-ci-al-men-te	4,7,9,11,14
33	29	metodológ	ica	metodológica	        A relevância deste estudo sustenta-se em justificativas de ordem epidemiológica, metodológ-	me-to-do-ló-gi-ca	2,4,6,8,10
33	32	recon	hecida	reconhecida	   1. Subnotificação da tuberculose e desfechos desfavoráveis. A tuberculose (TB), recon-	re-co-nhe-ci-da	2,4,7,9
34	14	link	age	linkage	   combinada de sobreamostragem e subamostragem especificamente desenhada para link-	linka-ge	5
37	9	frame	work	framework	        O presente estudo tem como objetivo geral desenvolver e avaliar um arcabouço (frame-	fra-mework	3
37	10	learn	ing	learning	work) configurável de pós-processamento, baseado em aprendizado de máquina (machine learn-	le-ar-ning	2,4
37	13	prob	abilístico	probabilístico	cinzenta que permaneceriam não classificados ou incorretamente descartados pelo método prob-	pro-ba-bi-lís-ti-co	3,5,7,10,12
37	25	compar	ativa	comparativa	       produzidos pelo linkage probabilístico entre o SIM e o Sinan-TB. Na avaliação compar-	com-pa-ra-ti-va	3,5,7,9
41	3	ap	resentam	apresentam	cinzenta pode introduzir viés individual, especialmente quando os campos de identificação ap-	apre-sen-tam	4,7
42	20	similar	idade	similaridade	de registros (JARDIM, 2024; LUCENA, 2013), responsável pelo cálculo dos escores de similar-	si-mi-la-ri-da-de	2,4,6,8,10
44	25	partic	ularmente	particularmente	baixos (entre 0,10 e 0,30), priorizando sensibilidade sobre precisão. Esta abordagem é partic-	par-ti-cu-lar-men-te	3,5,7,10,13
44	27	comprom	etendo	comprometendo	verdadeiro pode resultar em subestimação da magnitude de desfechos desfavoráveis, comprom-	com-pro-me-ten-do	3,6,8,11
44	39	con	hecimento	conhecimento	(unanimidade). Complementarmente, foram desenvolvidas regras de negócio baseadas no con-	co-nhe-ci-men-to	2,5,7,10
47	35	Light	GBM	lightgbm	de avaliação, imbalanced-learn para as técnicas de balanceamento de classes, XGBoost e Light-	ligh-tgbm	4
53	45	sub	stancialmente	substancialmente	(regressão logística, SVM linear) tenderam a maximizar revocação ao custo de precisão sub-	subs-tan-ci-al-men-te	4,7,9,11,14
55	16	unanim	idade	unanimidade	(nome perfeito, data de nascimento exata, nome da mãe concordante), (ii) consenso por unanim-	una-ni-mi-da-de	3,5,7,9
57	10	mod	elo	modelo	concordância parcial em campos de texto que gera escores intermediários, enquanto o mod-	mo-de-lo	2,4
63	49	rel	ativa	relativa	postos de Spearman ( = 0,38;  = 0,247) indique concordância fraca na ordenação rel-	re-la-ti-va	2,4,6
77	29	vig	ilância	vigilância	dos 41 vínculos verdadeiros presentes na amostra, comportamento que, em contexto de vig-	vi-gi-lân-cia	2,4,7
84	39	fed	eração	federação	        Como desdobramento, recomenda-se validação multicêntrica em outras unidades da fed-	fe-de-ra-ção	2,4,6
86	25	lim	iar	limiar	A configuração RF+SMOTE (limiar 0,5) recuperou 24 óbitos adicionais em relação ao lim-	li-mi-ar	2,4
89	20	encamin	hado	encaminhado	falso negativo (óbito não detectado) supera o custo de um falso positivo (par incorreto encamin-	en-ca-mi-nha-do	2,4,6,9
90	9	múltip	los	múltiplos	        Sistemas de saúde constituem sistemas complexos adaptativos, compostos por múltip-	múl-ti-plos	3,5
90	30	per	spectiva	perspectiva	(ROUX, 2011; de Savigny; ADAM, 2009). No campo das doenças infecciosas, essa per-	pers-pec-ti-va	4,7,9
91	39	recon	strução	reconstrução	        Os achados de interpretabilidade desta tese lançam luz sobre a dinâmica dessa recon-	re-cons-tru-ção	2,6,9
99	10	supervision	ado	supervisionado	        Apesar dessas restrições, os resultados sustentam que o pós-processamento supervision-	su-per-vi-si-o-na-do	2,5,7,9,10,12
100	30	recuper	ação	recuperação	conforme o objetivo de uso. Por fim, o estudo de impacto epidemiológico evidenciou recuper-	re-cu-pe-ra-ção	2,4,6,8
112	36	pos	itivos	positivos	Conjuntos âncora Subconjuntos de pares candidatos com alta confiança de classificação (pos-	po-si-ti-vos	2,4,6
113	14	sim	ilaridade	similaridade	Dossiê de revisão Representação estruturada de um par candidato contendo subescores de sim-	si-mi-la-ri-da-de	2,4,6,8,10
114	29	reg	istros	registros	OpenRecLink Software brasileiro de código aberto para relacionamento probabilístico de reg-	re-gis-tros	2,5
115	10	esper	ada	esperada	Regras de guarda Conjunto de filtros determinísticos aplicados antes do motor de perda esper-	es-pe-ra-da	2,4,6
122	9	lin	eares	lineares	Proof. O termo min(L ( | ), L ( | )) constitui o mínimo pontual de duas funções lin-	li-ne-a-res	2,4,5
122	10	mín	imo	mínimo	eares em : L ( | ) = (1- ) · (decrescente) e L ( | ) =  · (crescente). O mín-	mí-ni-mo	2,4
123	20	atrib	utos	atributos	       (como Random Forest ou Gradient Boosting), captura interações não lineares entre atrib-	atri-bu-tos	4,6
